"789.00";"Sensation of discomfort, distress, or agony in the abdominal region; generally associated with functional disorders, tissue injuries, or diseases."
"759.9";"Any abnormality, anatomical or biochemical, evident at birth or during the neonatal period. ; Malformations of organs or body parts during development in utero."
"634";"the natural premature expulsion from the uterus of the products of conception, the embryo, or non-viable fetus. ; Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference. ; Expulsion of the products of conception before the completion of gestation without deliberate interference"
"636";"Illegal termination of pregnancy."
"635";"Termination of pregnancy under conditions allowed under local laws. (POPLINE Thesaurus, 1991)"
"632";"The retention in the UTERUS of a dead FETUS two months or more after its DEATH. ; Retention in uterus of an abortus that has been dead at least 4 weeks."
"640.0";"UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE."
"641.20";"Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH."
"E880-E888.9";"Falls due to slipping or tripping which result in injury. ; falls due to slipping or tripping which result in loss or injury."
"E928.9";"unforeseen and unplanned event or circumstance frequently causing loss or injury. ; An unforeseen and unplanned event or circumstance frequently causing loss or injury."
"E849.0";"An accident taking place within a home."
"E810-E819.9";"Accidents on streets, roads, and highways involving drivers, passengers, pedestrians, or vehicles. Traffic accidents refer to AUTOMOBILES (passenger cars, buses, and trucks), BICYCLING, and MOTORCYCLES but not OFF-ROAD MOTOR VEHICLES; RAILROADS nor snowmobiles."
"536.0";"lack of hydrochloric acid in gastric juice despite stimulation of gastric secretion. ; A lack of HYDROCHLORIC ACID in GASTRIC JUICE despite stimulation of gastric secretion. ; Absence of hydrochloric acid in the gastric juice. ; (a-klor-HY-dree-a) A lack of hydrochloric acid in the digestive juices in the stomach. Hydrochloric acid helps d"
"276.2";"A pathologic condition resulting from accumulation of acid or depletion of the alkaline reserve (bicarbonate) content of the blood and body tissues, and characterized by an increase in hydrogen ion concentration (decrease in pH). (Dorland, 27th ed) ; An abnormally high acidity (excess hydrogen-ion concentration) of the blood and other body"
"388.5";"Pathological processes of the VESTIBULOCOCHLEAR NERVE, including the branches of COCHLEAR NERVE and VESTIBULAR NERVE. Common examples are VESTIBULAR NEURITIS, cochlear neuritis, and ACOUSTIC NEUROMA. Clinical signs are varying degree of HEARING LOSS; VERTIGO; and TINNITUS."
"039.9";"Infections with bacteria of the genus ACTINOMYCES."
